iteration,best_fitness,mean_fitness,std_fitness,elapsed_eval,elapsed_update
105,671233.723109489,678024.4842324902,5649.054707189693,0.009253833999991912,3.20979997923132e-05
106,670111.3455486734,675901.253385676,5476.845893297117,0.009401449000051798,3.917799995178939e-05
107,668873.4777004375,674215.397515382,4018.512367356546,0.009171434000109002,3.154800015181536e-05
108,668723.5090988107,674436.7915444993,5289.399980995377,0.009244906000276387,3.0440000045928173e-05
109,668214.9985808849,674498.7862620674,8090.42121711857,0.00922007000008307,3.0000000151630957e-05
110,667779.5070921298,673120.7275268435,4970.053942256348,0.009201633999964542,3.032000040548155e-05
111,667512.0610988748,673701.9347501601,6941.911767632075,0.00933554599987474,3.987699983554194e-05
112,666888.5410136227,673601.0851192183,14937.446018935949,0.009176187999855756,3.6470999930315884e-05
113,666558.5479344168,676924.0522500016,38887.03220102035,0.009409457999936421,3.14789999720233e-05
114,666529.8456924671,671431.9563423661,5783.929361428734,0.009810116000153357,3.118899985565804e-05
115,666365.0784727776,674303.4304575118,19069.07791306174,0.009286460999646806,3.1957999908627244e-05
116,665864.6477080615,671157.6989589415,4522.899135523206,0.0095011160001377,3.0978999802755425e-05
117,665864.6477080615,672323.5597974733,13439.822741329885,0.009244756000043708,3.651099996204721e-05
118,665841.9048031678,670998.7747514009,6591.700274007455,0.009154035999927146,3.631200024756254e-05
119,665841.9048031678,670996.7890462464,7224.463405910905,0.009199167000133457,3.152799990857602e-05
120,665727.2966475985,669741.1394939008,3774.251011352684,0.009182677999888256,3.192799977114191e-05
121,665727.2966475985,669758.8507691893,7182.506229814481,0.009160179000446078,4.09459998991224e-05
122,665598.1982044752,669384.8031470755,3785.967050644839,0.009531071999845153,3.112800004601013e-05
123,665598.1982044752,668841.3079797596,4141.532712572577,0.009303013999669929,3.376499989826698e-05
124,665585.3380577166,669329.2052073717,6406.896309628519,0.009475879000092391,3.20979997923132e-05
125,665585.3380577166,668705.3798180516,3708.526880978368,0.009248211999874911,3.5772000046563335e-05
126,665585.3380577166,668349.7205913024,3195.115342442757,0.009522287999971013,3.089900019404013e-05
127,665485.2807584986,668456.181973076,3537.016187358311,0.009467691000281775,3.982699990956462e-05
128,665415.1799367567,667396.3813717527,2072.5810995811303,0.00924222000003283,4.154499993092031e-05
129,665329.5069919722,668013.8298445649,3355.417291677698,0.009199236999847926,3.1599000067217276e-05
130,665329.5069919722,667505.344050298,2289.02220528499,0.009204569999837986,3.0269000035332283e-05
131,665302.5754224338,667863.9233244837,2835.9905425490206,0.0097238200000902,3.012000024682493e-05
132,665288.8841811588,667150.3857524007,1835.7323975134052,0.009648190999996586,3.315599997222307e-05
133,665288.8841811588,667744.4517754187,4076.981459485748,0.009380276999763737,3.9197999740281375e-05
134,665270.7786421749,667076.0011195339,1804.1812160087838,0.009275635999983933,3.14080002681294e-05
135,665270.7786421749,667568.0209569692,3270.5507129355797,0.009186364000015601,3.3975000405916944e-05
136,665270.7786421749,667227.2614011422,2534.494445164613,0.009387636000155908,3.096899990850943e-05
137,665113.2391468303,667117.8005609097,2909.7358331757655,0.009204349999890837,3.1567999940307345e-05
138,665113.2391468303,666698.9311741925,2284.699613406959,0.0091601389999596,3.057899994018953e-05
139,664741.326588781,667264.7001087972,3505.1712981246746,0.009208575000229757,3.3755000004020985e-05
140,663356.4169272815,666913.2671889671,3912.004553824531,0.00917589799973939,3.074899996136082e-05
141,663356.4169272815,666627.1455733788,2823.8228939493238,0.009500325999852066,2.9921000077592907e-05
142,663350.0956455843,666117.6826383435,2448.646512581272,0.009161686999959784,3.384499996172963e-05
143,663350.0956455843,666218.943051331,4949.5010307230195,0.009175768000204698,4.4271000206208555e-05
144,663350.0956455843,666482.9311816393,7241.834756152837,0.009117245000197727,3.144899983453797e-05
145,663350.0956455843,665323.978213566,1513.3759093766512,0.009180651000406215,3.514399986670469e-05
146,663223.5343089495,665693.7736519233,3576.609655999693,0.009272539999983564,3.07890004478395e-05
147,663223.5343089495,666050.8680395177,8125.191946506463,0.009243138000329054,3.045999983442016e-05
148,663223.5343089495,664955.4631343749,2095.862207215484,0.009252096999716741,4.406100015330594e-05
149,663145.7704360608,665148.5731564629,2555.204794722605,0.009733378999953857,3.14779999825987e-05
