benchmark,strategy,seed,w,c1,c2,n_particles,n_iterations,best_fitness,total_time,stop_reason
rastrigin_d10,V0_sequential,314,0.4,1.0,1.49618,30,300,28.853923584775885,0.035034796999980244,stagnation
rastrigin_d10,V0_sequential,42,0.4,1.0,2.0,30,300,10.961458285943223,0.03933732399997325,max_iterations
rastrigin_d10,V0_sequential,123,0.4,1.0,2.0,30,300,13.929416723667941,0.02915311300000667,stagnation
rastrigin_d10,V0_sequential,7,0.4,1.0,2.0,30,300,19.899161046144044,0.041355449999969096,max_iterations
rastrigin_d10,V0_sequential,99,0.4,1.0,2.0,30,300,18.904181736781794,0.026012968999964414,stagnation
rastrigin_d10,V0_sequential,314,0.4,1.0,2.0,30,300,41.78800675409199,0.04079006100005245,stagnation
rastrigin_d10,V0_sequential,42,0.4,1.49618,1.0,30,300,36.84696937179322,0.03984524399999145,max_iterations
rastrigin_d10,V0_sequential,123,0.4,1.49618,1.0,30,300,16.91511114339211,0.04342134899997063,max_iterations
rastrigin_d10,V0_sequential,7,0.4,1.49618,1.0,30,300,17.916219140994343,0.0406144559999575,max_iterations
rastrigin_d10,V0_sequential,99,0.4,1.49618,1.0,30,300,22.884228862761944,0.04599215199999662,max_iterations
rastrigin_d10,V0_sequential,314,0.4,1.49618,1.0,30,300,7.960943927085012,0.04385799599998563,max_iterations
rastrigin_d10,V0_sequential,42,0.4,1.49618,1.49618,30,300,19.964759793077732,0.040473237000014706,max_iterations
rastrigin_d10,V0_sequential,123,0.4,1.49618,1.49618,30,300,26.863790065809482,0.044482339000012416,max_iterations
rastrigin_d10,V0_sequential,7,0.4,1.49618,1.49618,30,300,29.848680899294507,0.0431258200000002,max_iterations
rastrigin_d10,V0_sequential,99,0.4,1.49618,1.49618,30,300,12.943222447244437,0.04539026800000556,max_iterations
rastrigin_d10,V0_sequential,314,0.4,1.49618,1.49618,30,300,12.935268385132147,0.04153029600001901,max_iterations
rastrigin_d10,V0_sequential,42,0.4,1.49618,2.0,30,300,18.904181736781766,0.04995025499999883,max_iterations
rastrigin_d10,V0_sequential,123,0.4,1.49618,2.0,30,300,30.843477277101954,0.044439518999979555,max_iterations
rastrigin_d10,V0_sequential,7,0.4,1.49618,2.0,30,300,48.823854519660955,0.03641112500002919,stagnation
rastrigin_d10,V0_sequential,99,0.4,1.49618,2.0,30,300,12.934457666574616,0.0389174149999576,stagnation
rastrigin_d10,V0_sequential,314,0.4,1.49618,2.0,30,300,27.858782978268778,0.03791378200003237,stagnation
rastrigin_d10,V0_sequential,42,0.4,2.0,1.0,30,300,8.954827270895862,0.04064038500001743,max_iterations
rastrigin_d10,V0_sequential,123,0.4,2.0,1.0,30,300,8.958327530993515,0.038544738999974015,max_iterations
rastrigin_d10,V0_sequential,7,0.4,2.0,1.0,30,300,11.031095001946085,0.039755814999978156,max_iterations
rastrigin_d10,V0_sequential,99,0.4,2.0,1.0,30,300,12.934542792189276,0.03955959299997858,max_iterations
rastrigin_d10,V0_sequential,314,0.4,2.0,1.0,30,300,16.915650876256407,0.03925248199999487,max_iterations
rastrigin_d10,V0_sequential,42,0.4,2.0,1.49618,30,300,18.90418235974674,0.03774544599997398,max_iterations
rastrigin_d10,V0_sequential,123,0.4,2.0,1.49618,30,300,15.919329800035456,0.02876262299997734,stagnation
rastrigin_d10,V0_sequential,7,0.4,2.0,1.49618,30,300,19.899146885229015,0.03924096800000143,max_iterations
rastrigin_d10,V0_sequential,99,0.4,2.0,1.49618,30,300,17.956797547084108,0.038661119999972016,max_iterations
rastrigin_d10,V0_sequential,314,0.4,2.0,1.49618,30,300,23.8789719867615,0.039785859999994955,max_iterations
rastrigin_d10,V0_sequential,42,0.4,2.0,2.0,30,300,9.949585658017824,0.03949420399999326,max_iterations
rastrigin_d10,V0_sequential,123,0.4,2.0,2.0,30,300,6.964807849519261,0.039412523999999394,max_iterations
rastrigin_d10,V0_sequential,7,0.4,2.0,2.0,30,300,6.964716261403709,0.0392670199999543,max_iterations
rastrigin_d10,V0_sequential,99,0.4,2.0,2.0,30,300,7.959667418928063,0.03851812300001711,max_iterations
rastrigin_d10,V0_sequential,314,0.4,2.0,2.0,30,300,20.89404060485724,0.038343846999964626,max_iterations
rastrigin_d10,V0_sequential,42,0.7298,1.0,1.0,30,300,22.884012927335846,0.03761040600005572,stagnation
rastrigin_d10,V0_sequential,123,0.7298,1.0,1.0,30,300,11.93949860948132,0.03835586600001761,stagnation
rastrigin_d10,V0_sequential,7,0.7298,1.0,1.0,30,300,30.843599376508294,0.0377618450000341,stagnation
rastrigin_d10,V0_sequential,99,0.7298,1.0,1.0,30,300,16.914288857128724,0.04195912400001589,max_iterations
rastrigin_d10,V0_sequential,314,0.7298,1.0,1.0,30,300,31.83879698798539,0.04073265699997819,max_iterations
rastrigin_d10,V0_sequential,42,0.7298,1.0,1.49618,30,300,34.82342552924331,0.04370770100001664,max_iterations
rastrigin_d10,V0_sequential,123,0.7298,1.0,1.49618,30,300,13.929396527113767,0.03962258400002838,max_iterations
rastrigin_d10,V0_sequential,7,0.7298,1.0,1.49618,30,300,18.90418173678181,0.04008419500001992,max_iterations
rastrigin_d10,V0_sequential,99,0.7298,1.0,1.49618,30,300,11.9394986095011,0.040265619000024344,max_iterations
rastrigin_d10,V0_sequential,314,0.7298,1.0,1.49618,30,300,21.892341401498626,0.03931668800004218,max_iterations
rastrigin_d10,V0_sequential,42,0.7298,1.0,2.0,30,300,7.975972557454298,0.039356279999992694,max_iterations
rastrigin_d10,V0_sequential,123,0.7298,1.0,2.0,30,300,5.97485995856735,0.04282041700002992,max_iterations
rastrigin_d10,V0_sequential,7,0.7298,1.0,2.0,30,300,5.007722531026474,0.038589618000003156,max_iterations
rastrigin_d10,V0_sequential,99,0.7298,1.0,2.0,30,300,7.959795779029832,0.03830968199997642,max_iterations
rastrigin_d10,V0_sequential,314,0.7298,1.0,2.0,30,300,10.944705365349279,0.037906593999991856,max_iterations
rastrigin_d10,V0_sequential,42,0.7298,1.49618,1.0,30,300,10.944539552916012,0.03824065399999199,max_iterations
rastrigin_d10,V0_sequential,123,0.7298,1.49618,1.0,30,300,3.9798362293343246,0.03981757799999741,max_iterations
rastrigin_d10,V0_sequential,7,0.7298,1.49618,1.0,30,300,7.9597279911959475,0.039008818999946016,max_iterations
rastrigin_d10,V0_sequential,99,0.7298,1.49618,1.0,30,300,4.974795285466456,0.03902298799999926,max_iterations
rastrigin_d10,V0_sequential,314,0.7298,1.49618,1.0,30,300,11.939498609481376,0.038533774999962134,max_iterations
rastrigin_d10,V0_sequential,42,0.7298,1.49618,1.49618,30,300,7.959667425061184,0.04008995899999945,max_iterations
rastrigin_d10,V0_sequential,123,0.7298,1.49618,1.49618,30,300,4.980001968109391,0.04172512299999198,max_iterations
rastrigin_d10,V0_sequential,7,0.7298,1.49618,1.49618,30,300,23.878911285975732,0.042236013999968236,max_iterations
rastrigin_d10,V0_sequential,99,0.7298,1.49618,1.49618,30,300,7.959667436657611,0.04148455800003603,max_iterations
rastrigin_d10,V0_sequential,314,0.7298,1.49618,1.49618,30,300,10.944519970493843,0.04297621899996784,max_iterations
rastrigin_d10,V0_sequential,42,0.7298,1.49618,2.0,30,300,4.019966809522714,0.04242943800005605,max_iterations
rastrigin_d10,V0_sequential,123,0.7298,1.49618,2.0,30,300,35.92164725930766,0.04173369299996921,max_iterations
rastrigin_d10,V0_sequential,7,0.7298,1.49618,2.0,30,300,38.78253015017028,0.042559431000029235,max_iterations
rastrigin_d10,V0_sequential,99,0.7298,1.49618,2.0,30,300,3.0117339916988755,0.042171402999997554,max_iterations
rastrigin_d10,V0_sequential,314,0.7298,1.49618,2.0,30,300,32.115787501712106,0.04132449500002622,max_iterations
rastrigin_d10,V0_sequential,42,0.7298,2.0,1.0,30,300,10.944669471845359,0.04136447600001247,max_iterations
rastrigin_d10,V0_sequential,123,0.7298,2.0,1.0,30,300,6.723022718961204,0.04957538300004671,max_iterations
rastrigin_d10,V0_sequential,7,0.7298,2.0,1.0,30,300,10.944546361025715,0.041438908000031915,max_iterations
rastrigin_d10,V0_sequential,99,0.7298,2.0,1.0,30,300,6.964715503447678,0.046346097000025566,max_iterations
rastrigin_d10,V0_sequential,314,0.7298,2.0,1.0,30,300,3.979836392979948,0.04653757100004441,max_iterations
rastrigin_d10,V0_sequential,42,0.7298,2.0,1.49618,30,300,7.739131759796976,0.04308961100002762,max_iterations
rastrigin_d10,V0_sequential,123,0.7298,2.0,1.49618,30,300,6.140401615548868,0.041679482000006374,max_iterations
rastrigin_d10,V0_sequential,7,0.7298,2.0,1.49618,30,300,11.32585152803334,0.041220913000017845,max_iterations
rastrigin_d10,V0_sequential,99,0.7298,2.0,1.49618,30,300,35.140593775663106,0.02421626899996454,stagnation
rastrigin_d10,V0_sequential,314,0.7298,2.0,1.49618,30,300,7.418653716452567,0.05335695899998427,max_iterations
rastrigin_d10,V0_sequential,42,0.7298,2.0,2.0,30,300,48.51484487543637,0.04603953100001945,max_iterations
rastrigin_d10,V0_sequential,123,0.7298,2.0,2.0,30,300,44.05449123515473,0.018107087000032607,stagnation
rastrigin_d10,V0_sequential,7,0.7298,2.0,2.0,30,300,25.694206363600173,0.0425949909999872,max_iterations
rastrigin_d10,V0_sequential,99,0.7298,2.0,2.0,30,300,41.8225027701568,0.0218693620000181,stagnation
rastrigin_d10,V0_sequential,314,0.7298,2.0,2.0,30,300,35.39448212888355,0.04230006500000627,max_iterations
rastrigin_d10,V0_sequential,42,0.9,1.0,1.0,30,300,34.908209373957604,0.041927068000006784,max_iterations
rastrigin_d10,V0_sequential,123,0.9,1.0,1.0,30,300,40.338252625557814,0.04181872599997405,max_iterations
rastrigin_d10,V0_sequential,7,0.9,1.0,1.0,30,300,25.929202083314607,0.018840170999965267,stagnation
rastrigin_d10,V0_sequential,99,0.9,1.0,1.0,30,300,53.89448992387288,0.020841520999965724,stagnation
rastrigin_d10,V0_sequential,314,0.9,1.0,1.0,30,300,10.80743618318104,0.04224339300003521,max_iterations
rastrigin_d10,V0_sequential,42,0.9,1.0,1.49618,30,300,38.76828184598901,0.01136933000003637,stagnation
rastrigin_d10,V0_sequential,123,0.9,1.0,1.49618,30,300,71.18191080802893,0.013609835000011117,stagnation
rastrigin_d10,V0_sequential,7,0.9,1.0,1.49618,30,300,48.88070139440552,0.015119594999987385,stagnation
rastrigin_d10,V0_sequential,99,0.9,1.0,1.49618,30,300,75.76666382266323,0.010271807000037825,stagnation
rastrigin_d10,V0_sequential,314,0.9,1.0,1.49618,30,300,79.31396015789483,0.012177125999983218,stagnation
rastrigin_d10,V0_sequential,42,0.9,1.0,2.0,30,300,83.22505262092878,0.02295146400001613,stagnation
rastrigin_d10,V0_sequential,123,0.9,1.0,2.0,30,300,80.74598990625627,0.028175368999995953,stagnation
rastrigin_d10,V0_sequential,7,0.9,1.0,2.0,30,300,49.403694365600884,0.03277100299999347,stagnation
